Timestamp,Keypress,State,Color
15:45:53:050,0,System Shut Down,Black
15:45:53:050,0,System Shut Down,Black
15:45:53:053,0,System Shut Down,Black
15:45:53:054,0,System Shut Down,Black
15:45:53:054,0,System Shut Down,Black
15:45:53:055,0,System Shut Down,Black
15:45:53:057,0,System Shut Down,Black
15:45:53:058,0,System Shut Down,Black
15:45:53:058,0,System Shut Down,Black
15:45:53:059,0,System Shut Down,Black
15:45:53:062,0,System Shut Down,Black
15:45:53:063,0,System Shut Down,Black
15:45:53:063,0,System Shut Down,Black
15:45:53:064,0,System Shut Down,Black
15:45:53:066,0,System Shut Down,Black
15:45:53:067,0,System Shut Down,Black
15:45:53:068,0,System Shut Down,Black
15:45:53:068,0,System Shut Down,Black
15:45:53:071,0,System Shut Down,Black
15:45:53:071,0,System Shut Down,Black
15:45:53:072,0,System Shut Down,Black
15:45:53:072,0,System Shut Down,Black
15:45:53:075,0,System Shut Down,Black
15:45:53:076,0,System Shut Down,Black
15:45:53:077,0,System Shut Down,Black
15:45:53:077,0,System Shut Down,Black
15:45:53:080,0,System Shut Down,Black
15:45:53:081,0,System Shut Down,Black
15:45:53:081,0,System Shut Down,Black
15:45:53:082,0,System Shut Down,Black
15:45:53:084,0,System Shut Down,Black
15:45:53:084,0,System Shut Down,Black
15:45:53:085,0,System Shut Down,Black
15:45:53:085,0,System Shut Down,Black
15:45:53:088,0,System Shut Down,Black
15:45:53:089,0,System Shut Down,Black
15:45:53:089,0,System Shut Down,Black
15:45:53:090,0,System Shut Down,Black
15:45:53:094,0,System Shut Down,Black
15:45:53:094,0,System Shut Down,Black
15:45:53:095,0,System Shut Down,Black
15:45:53:095,0,System Shut Down,Black
15:45:53:098,0,System Shut Down,Black
15:45:53:099,0,System Shut Down,Black
15:45:53:099,0,System Shut Down,Black
15:45:53:100,0,System Shut Down,Black
15:45:53:102,0,System Shut Down,Black
15:45:53:103,0,System Shut Down,Black
15:45:53:103,0,System Shut Down,Black
15:45:53:104,0,System Shut Down,Black
15:45:53:107,0,System Shut Down,Black
15:45:53:108,0,System Shut Down,Black
15:45:53:108,0,System Shut Down,Black
15:45:53:109,0,System Shut Down,Black
15:45:53:112,0,System Shut Down,Black
15:45:53:113,0,System Shut Down,Black
15:45:53:113,0,System Shut Down,Black
15:45:53:114,0,System Shut Down,Black
15:45:53:116,0,System Shut Down,Black
15:45:53:117,0,System Shut Down,Black
15:45:53:117,0,System Shut Down,Black
15:45:53:118,0,System Shut Down,Black
15:45:53:120,0,System Shut Down,Black
15:45:53:121,0,System Shut Down,Black
15:45:53:122,0,System Shut Down,Black
15:45:53:122,0,System Shut Down,Black
15:45:53:125,0,System Shut Down,Black
15:45:53:126,0,System Shut Down,Black
15:45:53:126,0,System Shut Down,Black
15:45:53:127,0,System Shut Down,Black
15:45:53:130,0,System Shut Down,Black
15:45:53:130,0,System Shut Down,Black
15:45:53:131,0,System Shut Down,Black
15:45:53:132,0,System Shut Down,Black
15:45:53:134,0,System Shut Down,Black
15:45:53:135,0,System Shut Down,Black
15:45:53:136,0,System Shut Down,Black
15:45:53:136,0,System Shut Down,Black
15:45:53:139,0,System Shut Down,Black
15:45:53:139,0,System Shut Down,Black
15:45:53:140,0,System Shut Down,Black
15:45:53:140,0,System Shut Down,Black
15:45:53:144,0,System Shut Down,Black
15:45:53:145,0,System Shut Down,Black
15:45:53:145,0,System Shut Down,Black
15:45:53:146,0,System Shut Down,Black
15:45:53:149,0,System Shut Down,Black
15:45:53:150,0,System Shut Down,Black
15:45:53:150,0,System Shut Down,Black
15:45:53:151,0,System Shut Down,Black
15:45:53:154,0,System Shut Down,Black
15:45:53:155,0,System Shut Down,Black
15:45:53:155,0,System Shut Down,Black
15:45:53:156,0,System Shut Down,Black
15:45:53:161,0,System Shut Down,Black
15:45:53:162,0,System Shut Down,Black
15:45:53:162,0,System Shut Down,Black
15:45:53:163,0,System Shut Down,Black
15:45:53:165,0,System Shut Down,Black
15:45:53:166,0,System Shut Down,Black
15:45:53:167,0,System Shut Down,Black
15:45:53:167,0,System Shut Down,Black
15:45:53:170,0,System Shut Down,Black
15:45:53:171,0,System Shut Down,Black
15:45:53:171,0,System Shut Down,Black
15:45:53:172,0,System Shut Down,Black
15:45:53:174,0,System Shut Down,Black
15:45:53:175,0,System Shut Down,Black
15:45:53:175,0,System Shut Down,Black
15:45:53:176,0,System Shut Down,Black
15:45:53:179,0,System Shut Down,Black
15:45:53:180,0,System Shut Down,Black
15:45:53:181,0,System Shut Down,Black
15:45:53:181,0,System Shut Down,Black
15:45:53:184,0,System Shut Down,Black
15:45:53:184,0,System Shut Down,Black
15:45:53:185,0,System Shut Down,Black
15:45:53:185,0,System Shut Down,Black
15:45:53:188,0,System Shut Down,Black
15:45:53:189,0,System Shut Down,Black
15:45:53:189,0,System Shut Down,Black
15:45:53:190,0,System Shut Down,Black
15:45:53:192,0,System Shut Down,Black
15:45:53:193,0,System Shut Down,Black
15:45:53:194,0,System Shut Down,Black
15:45:53:194,0,System Shut Down,Black
15:45:53:197,0,System Shut Down,Black
15:45:53:198,0,System Shut Down,Black
15:45:53:198,0,System Shut Down,Black
15:45:53:199,0,System Shut Down,Black
15:45:53:202,0,System Shut Down,Black
15:45:53:202,0,System Shut Down,Black
15:45:53:203,0,System Shut Down,Black
15:45:53:204,0,System Shut Down,Black
15:45:53:207,0,System Shut Down,Black
15:45:53:207,0,System Shut Down,Black
15:45:53:208,0,System Shut Down,Black
15:45:53:208,0,System Shut Down,Black
15:45:53:212,0,System Shut Down,Black
15:45:53:213,0,System Shut Down,Black
15:45:53:213,0,System Shut Down,Black
15:45:53:214,0,System Shut Down,Black
15:45:53:217,0,System Shut Down,Black
15:45:53:217,0,System Shut Down,Black
15:45:53:218,0,System Shut Down,Black
15:45:53:219,0,System Shut Down,Black
15:45:53:221,0,System Shut Down,Black
15:45:53:222,0,System Shut Down,Black
15:45:53:222,0,System Shut Down,Black
15:45:53:223,0,System Shut Down,Black
15:45:53:226,0,System Shut Down,Black
15:45:53:227,0,System Shut Down,Black
15:45:53:228,0,System Shut Down,Black
15:45:53:229,0,System Shut Down,Black
15:45:53:232,0,System Shut Down,Black
15:45:53:232,0,System Shut Down,Black
15:45:53:233,0,System Shut Down,Black
15:45:53:234,0,System Shut Down,Black
15:45:53:237,0,System Shut Down,Black
15:45:53:238,0,System Shut Down,Black
15:45:53:239,0,System Shut Down,Black
15:45:53:239,0,System Shut Down,Black
15:45:53:243,0,System Shut Down,Black
15:45:53:244,0,System Shut Down,Black
15:45:53:244,0,System Shut Down,Black
15:45:53:245,0,System Shut Down,Black
15:45:53:248,0,System Shut Down,Black
15:45:53:248,0,System Shut Down,Black
15:45:53:249,0,System Shut Down,Black
15:45:53:250,0,System Shut Down,Black
15:45:53:252,0,System Shut Down,Black
15:45:53:253,0,System Shut Down,Black
15:45:53:254,0,System Shut Down,Black
15:45:53:254,0,System Shut Down,Black
15:45:53:257,0,System Shut Down,Black
15:45:53:258,0,System Shut Down,Black
15:45:53:259,0,System Shut Down,Black
15:45:53:260,0,System Shut Down,Black
15:45:53:263,0,System Shut Down,Black
15:45:53:264,0,System Shut Down,Black
15:45:53:264,0,System Shut Down,Black
15:45:53:265,0,System Shut Down,Black
15:45:53:268,0,System Shut Down,Black
15:45:53:268,0,System Shut Down,Black
15:45:53:269,0,System Shut Down,Black
15:45:53:269,0,System Shut Down,Black
